"Sku","Description","SubCategory","Fulfillment Cost","USA cost","Overseas Cost","Labor Cost","Alt Item Number","Alternate Product","On Order","Lead Time","Total Inventory","Tags","Active","Weight Amount","Weight Unit","Length","Width","Height","Dimensional Unit","External Site Product","Departments","Minimum Inventory","Maximum Inventory","Image"
"05INWAL08BF","DESCRIPTION","Wood Products","0","","0","0","null","null","0","0","0","","Yes","1","Ounce(s)","1","1","1","Inches","No","Wood","1","1",""
"08INRED08BF","DESC","Wood Products","0","","0","0","null","null","0","0","0","","Yes","1","Ounce(s)","1","1","1","Inches","No","Wood","1","1",""
"08INRED09BF","Red Oak Board -9ft Board 
 
 (Raw Material)","Wood Products","0","","0","0","null","null","0","5","0","","Yes","0","Ounce(s)","16","8","0","Feet","No","Inventory","0","0",""
"08INRED10BF","Red Oak Board -10ft Board 
 
 (Raw Material)","Wood Products","0","","0","0","null","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","","0","0",""
"08INWAL08BF","DESC","","0","","0","0","","null","0","0","0","","Yes","1","Ounce(s)","1","1","1","Inches","No","","1","1",""
"0BBLMAIL","#0 BBL Poly Mailer 6.5x10 White Xpak 250/CA","Shipping Supplies","0","","0","0","771342218209","null","0","1","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","0","0",""
"14GACR","14 Gage Metal Sheets","Laser Metal Supplies","0","","0","0","4049","null","0","2","0","","Yes","126","Pound(s)","120","48","0.08","Inches","No","Inventory","0","0",""
"151340","STRETCH FILM 30” x 11 500’ 40GA 20/PLT","Shipping Supplies","0","","0","0","","null","0","7","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","0","0",""
"16GA CR METAL SHEET",".","Laser Metal Supplies","0","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","0","0",""
"18GAAL","18 Gauge Aluminum Sheets (.0400X 48 X 120)","Laser Metal Supplies","0","","0","0","1112","null","0","2","0","","Yes","22.8","Pound(s)","120","48","0.04","Inches","No","Inventory","0","0",""
"18GACR","18 Gage Metal Sheets","Laser Metal Supplies","78.5","","0","0","","null","0","0","800","","Yes","0","Ounce(s)","0","0","0","Inches","No","Metal","0","0",""
"1TSKSTARTER","1 Pack Mushroom Mix with Blender","","2.25","","0","0","null","null","0","0","838","","Yes","11.4","Ounce(s)","8","12","1","Inches","No","Fulfillment","0","9999",""
"20001","Cream Thread (20001) 5000 Meters 40w Polyester","Embroidery Supplies","0","","0","0","Cream Thread  20001","null","0","7","13","","Yes","0","Ounce(s)","0","0","0","Inches","No","Inventory","0","0","https://cwaprodstorage.blob.core.windows.net/images/1591ff49-b67f-4f1c-b6e2-a192035b0856Screenshot 2022-10-04 162956.png"
"200200","Light Brown Hangers","","3.5","","0","0","null","null","0","90","24","","Yes","3.2","Ounce(s)","17","0.5","9.25","Inches","No","Engraving","0","0","https://cwaprodstorage.blob.core.windows.net/images/5b2480a5-353d-46c6-9080-7dc5ede129edFile %284%29.jpg"
"200222","White Hanger","","3.5","","0","0","null","null","0","90","54","","Yes","3.2","Ounce(s)","17","0.5","9.25","Inches","No","Engraving","0","0","https://cwaprodstorage.blob.core.windows.net/images/bd8e2d4c-2798-4433-a352-0559176d12ddFile %2839%29.jpg"
"20GA CR METAL SHEET",".","Laser Metal Supplies","65.5","","0","0","","null","0","0","0","","Yes","0","Ounce(s)","0","0","0","Inches","No","Metal","0","0",""
"20GAAL","20 Gauge Aluminum Sheets (.0320 X 48 X 120)","Laser Metal Supplies","0","","0","0","990","null","0","2","0","","Yes","18.24","Pound(s)","120","48","0.03","Inches","No","Inventory","0","0",""
